id,Statut,URL,Type,Série,Rubrique,Pilier,Titre de travail,Requête cible,Requêtes secondaires,Auteur,Interviewé,Mois,Date prévue,Date publiée,Priorité,Responsable,Image OG,Vidéo (ID),Conditions,Rafraîchit,Pièce liée,Fonctionnalités,Diffusion,Angle,Fichier du brief,Indexé (site)
P011,Publié,https://checkia.fr/blog/futur-de-l-audit/nep-911-912-revisees-2026/,texte,Le futur de l'audit,,P1b NEP,NEP 911 et 912 révisées (arrêté du 24 juillet 2026) : ce qui change pour les petites entreprises,NEP 911 912,,L'équipe CheckIA,,2026-09,2026-09-29,2026-09-07,haute,Chloe,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — ok (décision Chloe : signature L'équipe CheckIA)",,,,,"Sujet le plus repris par les blogs de cabinets fin août 2026. Expliquer les deux missions (trois exercices, six exercices), le passage à l'article L. 821-57, l'exigence d'un dossier proportionné, et comment le documenter.",content-plan/briefs/P011-nep-911-912-revisees-2026.md,oui
P012,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,Panorama des logiciels pour commissaires aux comptes 2026,logiciel commissaire aux comptes,,L'équipe CheckIA,,2026-10,2026-10-01,,haute,Chloe,generee,,,,,,,"Liste classée et factuelle des solutions du marché (RevisAudit Premium, DreamAudit, AuditSoft Premier, Caseware, Intelligent Audit, CACAO, Acropole Expert CAC, Kantik, HOLCO, PackAUDIT, CheckIA) : périmètre, public, points forts, source de chaque information. Aucun prix non sourcé. Rafraîchi chaque trimestre.",content-plan/briefs/P012-panorama-logiciels-cac-2026.md,—
P013,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Charte IA d'un cabinet de commissariat aux comptes : modèle et dix clauses,charte IA cabinet,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-10,2026-10-06,,haute,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Trois cabinets sur quatre n'ont pas de document encadrant l'IA alors que plus de 60 % l'autorisent. Proposer les dix clauses, adossées à la fiche A2 de la CNCC et à l'article L. 821-35.",content-plan/briefs/P013-charte-ia-cabinet-cac.md,—
P014,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,"Rapport du commissaire aux apports : structure, mentions obligatoires, exemple",rapport commissaire aux apports,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-10,2026-10-08,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Le rapport décrit chaque apport, la méthode d'évaluation et son adéquation, et conclut sur la valeur au moins égale au nominal. Structure conseillée par l'avis technique, erreurs fréquentes, dépôt au greffe.",content-plan/briefs/P014-rapport-commissaire-aux-apports.md,—
P015,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Lettre de mission du commissaire aux apports : ce qu'elle doit contenir,lettre de mission commissaire aux apports,,L'équipe CheckIA,,2026-10,2026-10-13,,normale,Chloe,generee,,,,,,,"Contenu, moment de signature, articulation avec la fiche d'acceptation et l'attestation d'indépendance ; renvoi aux exemples CNCC.",content-plan/briefs/P015-lettre-de-mission-commissaire-aux-apports.md,—
P016,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,L'IA va-t-elle remplacer le commissaire aux comptes ?,avenir du commissariat aux comptes,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-10,2026-10-15,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Répondre frontalement à la question la plus posée, avec les chiffres CNCC (un tiers des missions automatisables), la position H2A et la répartition réelle des tâches.",content-plan/briefs/P016-ia-remplacer-commissaire-aux-comptes.md,—
P017,Idée,,texte,Nouveautés produit,,P5 Produit,"Historique des validations : qui a validé quoi, et quand",aucune,,L'équipe CheckIA,,2026-10,2026-10-20,,normale,Chloe,generee,,,,,historique-validations ; validation-documents,,"Article produit : la trace horodatée des validations et dévalidations, et pourquoi elle compte pour la revue et le contrôle qualité.",content-plan/briefs/P017-historique-des-validations.md,—
P018,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,"Ce que l'IA peut et ne peut pas faire dans un dossier : entretien avec Jean-David Collard, docteur en IA",aucune,,L'équipe CheckIA,Jean-David Collard,2026-10,2026-10-22,,normale,Chloe,video,,Citations validées par l'interviewé — non,,,,,"Entretien avec le cofondateur docteur en IA : limites réelles des modèles, traçabilité, ce qu'il refuse de laisser faire à l'IA dans un dossier de commissaire aux comptes.",content-plan/briefs/P018-paroles-cac-02-docteur-ia.md,—
P019,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,Combien coûte un logiciel de commissariat aux comptes ?,prix logiciel CAC,,L'équipe CheckIA,,2026-10,2026-10-27,,normale,Chloe,generee,,Position de CheckIA sur la publication d'un prix — non,,,,,"Modèles de tarification (par utilisateur, par dossier, par cabinet), coûts cachés (migration, formation), et ce que l'on peut comparer. Prix uniquement quand l'éditeur les publie ; pas de prix CheckIA sans validation.",content-plan/briefs/P019-combien-coute-logiciel-cac.md,—
P020,Idée,,linkedin,,,Hors site,Lancement de l'enquête « Baromètre de la formalisation » auprès des commissaires aux comptes,aucune,,L'équipe CheckIA,,2026-10,2026-10-29,,haute,Chloe,,,,,,,,"Questionnaire court (temps passé par étape, missions, outils) adressé à 100 à 200 CAC via LinkedIn, les CRCC et les clients ; aucune donnée publique n'existe sur le temps de formalisation.",content-plan/briefs/P020-barometre-formalisation-lancement.md,—
P021,Idée,,texte,Le futur de l'audit,,P1b NEP,"Seuil de signification (NEP 320) : calcul, seuils de planification et documentation",seuil de signification calcul,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-10,2026-10-29,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Le sujet le plus lu de la profession (272 593 lectures sur Compta Online). Méthode de calcul, seuils de planification, comment documenter le raisonnement ; angle documentation plutôt que cours.",content-plan/briefs/P021-seuil-de-signification-nep-320.md,—
P022,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Secret professionnel du commissaire aux comptes et IA : ce que permet l'article L. 821-35,secret professionnel IA commissaire aux comptes,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-11,2026-11-03,,haute,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"L'objection qui bloque chaque déploiement d'IA en cabinet. L'entité ne peut pas délier le CAC ; conséquences pour le choix d'un outil (hébergement, entraînement, sous-traitants).",content-plan/briefs/P022-secret-professionnel-cac-ia-l821-35.md,—
P023,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,AI Act et cabinets d'audit : l'obligation de littératie IA depuis le 2 août 2026,AI Act cabinet audit,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-11,2026-11-05,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Ce qui s'applique concrètement à un cabinet utilisateur (et non fournisseur) d'IA : formation, supervision humaine, transparence ; comment en garder la preuve.",content-plan/briefs/P023-ai-act-cabinets-audit-litteratie.md,—
P024,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,L'IA comme un collaborateur à superviser : la position de la H2A (juillet 2026),aucune,,L'équipe CheckIA,,2026-11,2026-11-10,,normale,Chloe,generee,,,,,,,Analyse de la position exprimée aux Rencontres de la H2A du 1er juillet 2026 et de ce qu'elle implique pour les contrôles d'activité.,content-plan/briefs/P024-ia-collaborateur-position-h2a.md,—
P025,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Nomination du commissaire aux apports : unanimité des associés ou ordonnance sur requête ?,nomination commissaire aux apports,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-11,2026-11-12,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Les deux voies de désignation, les délais réels du greffe (tribunaldigital.fr), qui peut être désigné, incompatibilités.",content-plan/briefs/P025-nomination-commissaire-aux-apports.md,—
P026,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Commissaire aux apports et auto-révision : les cas à refuser,aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-11,2026-11-17,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Déontologie : quand le cabinet doit décliner (relation d'expertise comptable, CAC d'une société participante, missions concomitantes).",content-plan/briefs/P026-commissaire-aux-apports-auto-revision.md,—
P027,Idée,,texte,Nouveautés produit,,P5 Produit,Éditeur DOCX natif et export PDF : relire et corriger sans quitter le dossier,aucune,,L'équipe CheckIA,,2026-11,2026-11-19,,normale,Chloe,generee,,,,,editeur-docx,,"Article produit : édition des documents générés, pagination, export PDF ; ce que cela change pour la relecture.",content-plan/briefs/P027-editeur-docx-export-pdf.md,—
P028,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,L'IA dans un cabinet de commissaires aux comptes : entretien avec un praticien,aucune,,L'équipe CheckIA,Praticien à confirmer,2026-11,2026-11-24,,normale,Chloe,video,,Interviewé confirmé — non ; Citations validées par l'interviewé — non,,,,,"Entretien avec un CAC extérieur (cible : Fabrice Heuvrard, ou une voix CRCC) sur l'usage réel de l'IA en cabinet et le secret professionnel.",content-plan/briefs/P028-paroles-cac-03-cabinet-et-ia.md,—
P029,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,Quel logiciel pour les missions spécifiques du commissaire aux comptes ?,logiciel missions spécifiques CAC,,L'équipe CheckIA,,2026-11,2026-11-26,,normale,Chloe,generee,,,,,,,"Question posée telle quelle aux assistants. Ce qu'un logiciel doit couvrir pour un commissariat aux apports (documents, traçabilité, pièces), les options (bureautique, logiciel d'audit généraliste, outil dédié).",content-plan/briefs/P029-quel-logiciel-missions-specifiques-cac.md,—
P030,Idée,,texte,Le futur de l'audit,,P1b NEP,"Plan de mission (NEP 300) : structure, contenu et modèle",plan de mission commissaire aux comptes,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-11,2026-11-26,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Scribd et Studocu se classent sur cette requête : la demande de modèle n'est servie par aucun éditeur. Structure du plan, contenu attendu, articulation avec NEP 315.",content-plan/briefs/P030-plan-de-mission-nep-300.md,—
P031,Idée,,video,Le futur de l'audit,,P1 IA et CAC,Assises 2026 « IA : Innovation et Audit » : ce que nous en retenons,aucune,,L'équipe CheckIA,,2026-12,2026-12-01,,haute,Chloe,video,,Présence aux Assises confirmée — non,,,,,"Compte rendu vidéo des 37es Assises (7–8 décembre, CNIT) publié dans les 48 heures : messages de la CNCC, ateliers IA, ce qui change pour les cabinets.",content-plan/briefs/P031-assises-2026-ia-innovation-audit.md,—
P032,Idée,,texte,Le futur de l'audit,,P1b NEP,NEP 315 et outils et techniques automatisés : comment documenter l'usage de l'IA,IA et NEP,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-12,2026-12-03,,haute,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"La définition des OTA dans la NEP 315 révisée est l'ancrage normatif de l'IA en audit légal. Ce qu'il faut documenter : données, paramètres, anomalies, contrôles humains, conclusions.",content-plan/briefs/P032-nep-315-outils-techniques-automatises-ia.md,—
P033,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Fusion-absorption d'une SCI par une SAS : faut-il un commissaire aux apports ?,aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2026-12,2026-12-08,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Cas pratique tranché par la CNCC (EJ 2024-19) : oui, l'apport en nature impose un commissaire aux apports au titre de L. 225-147.",content-plan/briefs/P033-fusion-sci-sas-commissaire-aux-apports.md,—
P034,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Apports en fin d'année : calendrier et pièces à réunir avant le 31 décembre,aucune,,L'équipe CheckIA,,2026-12,2026-12-10,,normale,Chloe,generee,,,,,,,"Les opérations datées du 31 décembre concentrent les missions ; liste des pièces (Kbis, statuts, comptes, contrat d'apport, PV de désignation) et rétroplanning.",content-plan/briefs/P034-apports-fin-annee-calendrier-pieces.md,—
P035,Idée,,texte,Nouveautés produit,,P5 Produit,[IA] Première fonctionnalité d'assistance par IA dans CheckIA (titre à préciser au lancement),aucune,,L'équipe CheckIA,,2026-12,2026-12-15,,normale,Chloe,generee,,"Fonctionnalité IA en production — non ; produit-verite.md mis à jour ([ia-assistance] déplacé en production, [aucune-ia-externe] réévalué) — non",,,ia-assistance,,Article produit conditionné à la mise en production de l'IA (T4 2026). Décrire uniquement ce qui est livré ; rappeler la validation humaine et le traitement des données.,content-plan/briefs/P035-ia-premiere-fonctionnalite.md,—
P036,Idée,,temoignage,Témoignages clients,,P4 Paroles de CAC,[Cabinet] : [résultat obtenu avec CheckIA] — premier témoignage client,avis CheckIA,,L'équipe CheckIA,,2026-12,2026-12-17,,normale,Chloe,video,,Cabinet client volontaire identifié — non ; Citations validées par l'interviewé — non,,,,,"Premier témoignage vidéo : contexte, mise en place, résultats chiffrés et datés par le cabinet lui-même.",content-plan/briefs/P036-temoignage-client-01.md,—
P037,Idée,,texte,Vie de l'entreprise,,P6 Entreprise,CheckIA en 2026 : bilan et feuille de route 2027,CheckIA,,L'équipe CheckIA,,2026-12,2026-12-22,,normale,Chloe,generee,,,,,editeur-docx ; pre-remplissage-registres ; historique-validations,,"Ce qui a été livré en 2026 (depuis le journal de développement), ce qui est prévu en 2027, formulé avec produit-verite.md.",content-plan/briefs/P037-checkia-2026-bilan-feuille-de-route-2027.md,—
P038,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Baromètre de la formalisation 2027 : combien de temps les commissaires aux comptes passent-ils à formaliser ?,temps de formalisation audit,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-01,2027-01-05,,haute,JD,generee,,"Au moins 100 réponses collectées — non ; Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Résultats de l'enquête CheckIA : la seule donnée publique sur le temps de formalisation. Méthode, échantillon, résultats par étape et par mission ; communiqué à Compta Online et au Monde du Chiffre.",content-plan/briefs/P038-barometre-formalisation-2027-resultats.md,—
P039,Idée,,texte,Le futur de l'audit,,P1b NEP,NEP 230 : ce qu'un dossier de mission spécifique doit contenir pour être compréhensible sans explication orale,NEP 230 documentation,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-01,2027-01-07,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Le critère de la « personne expérimentée » appliqué à un dossier de commissariat aux apports : test en dix points, avant/après.",content-plan/briefs/P039-nep-230-dossier-mission-specifique.md,—
P040,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,"Commissariat à la transformation : procédure, rapport et délai de huit jours (L. 224-3)",commissariat à la transformation,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-01,2027-01-12,,haute,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Guide praticien : quand il est obligatoire, ce que le commissaire évalue (actif social, avantages particuliers), le délai de huit jours et la sanction de nullité. Informationnel : le produit ne couvre pas encore la transformation.",content-plan/briefs/P040-commissariat-a-la-transformation-procedure.md,—
P041,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Transformation en société par actions : quand faut-il un commissaire à la transformation ?,aucune,,L'équipe CheckIA,,2027-01,2027-01-14,,normale,Chloe,generee,,,,,,,"Cas pratiques : SARL vers SAS avec ou sans CAC en place, rapport combiné L. 223-43, erreurs fréquentes des greffes.",content-plan/briefs/P041-transformation-societe-par-actions-obligatoire.md,—
P042,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,Excel et Word pour les missions spécifiques : les limites et le moment de changer,aucune,,L'équipe CheckIA,,2027-01,2027-01-19,,normale,Chloe,generee,,,,,,,"La bureautique reste l'outil dominant ; où elle casse (versions, cohérence entre documents, traçabilité), et à partir de quel volume un outil dédié se justifie.",content-plan/briefs/P042-excel-word-missions-specifiques-limites.md,—
P043,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit de janvier 2027 (à préciser depuis le journal de développement),aucune,,L'équipe CheckIA,,2027-01,2027-01-21,,normale,Chloe,generee,,Fonctionnalités du mois identifiées et ajoutées à produit-verite.md — non,,,,,"Article produit mensuel : fonctionnalités livrées, avec identifiants produit-verite.md.",content-plan/briefs/P043-produit-janvier-2027.md,—
P044,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Paroles de commissaires aux comptes n° 4 (invité à confirmer),aucune,,L'équipe CheckIA,Invité à confirmer,2027-01,2027-01-26,,normale,Chloe,video,,Interviewé confirmé — non,,,,,Entretien mensuel : invité et angle à fixer (piste : un CAC de cabinet régional sur les petits mandats et la rentabilité).,content-plan/briefs/P044-paroles-cac-04.md,—
P045,Idée,,refresh,,,P3 Logiciel CAC,Rafraîchissement trimestriel du panorama des logiciels CAC (T1 2027),aucune,,L'équipe CheckIA,,2027-01,2027-01-28,,normale,Chloe,generee,,,P012,,,,"Mettre à jour les fiches éditeurs, les prix publiés, la date de modification ; consigner ce qui a changé.",content-plan/briefs/P045-refresh-panorama-t1-2027.md,—
P046,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Produire un texte n'est pas documenter une mission : pourquoi le prompting ne remplace pas le dossier,aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-02,2027-02-02,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Distinction entre générer un texte avec un assistant et constituer un dossier probant (sources, versions, validations).",content-plan/briefs/P046-prompting-nest-pas-documentation.md,—
P047,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,"Piste d'audit des décisions humaines et de l'IA : proposition, validation, modification",aucune,,L'équipe CheckIA,,2027-02,2027-02-04,,normale,Chloe,generee,,,,,,,"Schéma de journal d'événements : ce que l'IA a proposé, ce que l'humain a validé ou modifié, par qui et quand.",content-plan/briefs/P047-audit-trail-decisions-humaines-ia.md,—
P048,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Évaluation des apports : méthodes retenues et justification dans le rapport,aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-02,2027-02-09,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Méthodes d'évaluation, choix et justification, cohérence avec le contrat d'apport ; ce que le rapport doit expliquer.",content-plan/briefs/P048-evaluation-des-apports-methodes.md,—
P049,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Avantages particuliers : ce que vérifie le commissaire aux apports ou à la transformation,aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-02,2027-02-11,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Définition, cas fréquents, diligences et rédaction dans le rapport.",content-plan/briefs/P049-avantages-particuliers-commissaire.md,—
P050,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,"Migrer ses dossiers vers un logiciel CAC : formats, conservation et contrôles de reprise",aucune,,L'équipe CheckIA,,2027-02,2027-02-16,,normale,Chloe,generee,,,,,,,"Sujet à forte intention d'achat et peu documenté : quoi migrer, quoi archiver (dix ans), comment contrôler la reprise.",content-plan/briefs/P050-migrer-dossiers-logiciel-cac.md,—
P051,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit de février 2027 (à préciser),aucune,,L'équipe CheckIA,,2027-02,2027-02-18,,normale,Chloe,generee,,Fonctionnalités du mois identifiées — non,,,,,Article produit mensuel.,content-plan/briefs/P051-produit-fevrier-2027.md,—
P052,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Paroles de commissaires aux comptes n° 5 (invité à confirmer),aucune,,L'équipe CheckIA,Invité à confirmer,2027-02,2027-02-23,,normale,Chloe,video,,Interviewé confirmé — non,,,,,Entretien mensuel (piste : un contrôleur qualité ou ancien contrôleur H2A sur ce qu'il attend d'un dossier).,content-plan/briefs/P052-paroles-cac-05.md,—
P053,Idée,,temoignage,Témoignages clients,,P4 Paroles de CAC,Deuxième témoignage client (cabinet à confirmer),aucune,,L'équipe CheckIA,,2027-02,2027-02-25,,normale,Chloe,video,,Cabinet client volontaire identifié — non,,,,,Témoignage vidéo trimestriel.,content-plan/briefs/P053-temoignage-client-02.md,—
P054,Idée,,video,Le futur de l'audit,,P1 IA et CAC,Journée Confiance Numérique 2027 : ce que la CNCC a annoncé sur l'IA,aucune,,L'équipe CheckIA,,2027-03,2027-03-02,,normale,Chloe,video,,Présence confirmée — non,,,,,Compte rendu vidéo de la 6e Journée Confiance Numérique (11 mars 2027).,content-plan/briefs/P054-journee-confiance-numerique-2027.md,—
P055,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Omnibus et CSRD : ce qui change pour le commissaire aux comptes en France (2027),CSRD commissaire aux comptes,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-03,2027-03-04,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Nouveaux seuils, calendrier de transposition (19 mars 2027), NEP 9510 révisée, ISSA 5000 : lecture pour les cabinets.",content-plan/briefs/P055-omnibus-csrd-cac-france.md,—
P056,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Contrôle d'activité H2A : comment prouver un usage encadré de l'IA,contrôle qualité H2A IA,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-03,2027-03-09,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Ce que les équipes de contrôle regarderont : charte, formation, traçabilité, sources, validations humaines ; liste de preuves à préparer.",content-plan/briefs/P056-controle-h2a-usage-encadre-ia.md,—
P057,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Fiche d'acceptation et attestation d'indépendance en mission spécifique,aucune,,L'équipe CheckIA,,2027-03,2027-03-11,,normale,Chloe,generee,,,,,,,"Les deux documents d'entrée en mission : contenu, qui signe, quand, et pourquoi ils protègent le cabinet.",content-plan/briefs/P057-fiche-acceptation-attestation-independance.md,—
P058,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,"Adopter un logiciel CAC en 30, 60 et 90 jours : plan pour les associés",aucune,,L'équipe CheckIA,,2027-03,2027-03-16,,normale,Chloe,generee,,,,,,,"Conduite du changement : premiers dossiers, trames du cabinet, formation, indicateurs.",content-plan/briefs/P058-adopter-logiciel-cac-30-60-90.md,—
